VIN	V(vin)	V(vout_inv_10_10)	V(vout_inv_15_05)	V(vout_inv_20_10)
0.000000000000000e+00	0.000000e+00	5.000000e+00	5.000000e+00	5.000000e+00
1.000000000000000e-03	1.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
2.000000000000000e-03	2.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
3.000000000000000e-03	3.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
4.000000000000000e-03	4.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
5.000000000000000e-03	5.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
6.000000000000000e-03	6.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
7.000000000000000e-03	7.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
8.000000000000000e-03	8.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
9.000000000000001e-03	9.000000e-03	5.000000e+00	5.000000e+00	5.000000e+00
1.000000000000000e-02	1.000000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.100000000000000e-02	1.100000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.200000000000000e-02	1.200000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.300000000000000e-02	1.300000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.400000000000000e-02	1.400000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.500000000000000e-02	1.500000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.600000000000000e-02	1.600000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.700000000000000e-02	1.700000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.800000000000000e-02	1.800000e-02	5.000000e+00	5.000000e+00	5.000000e+00
1.900000000000000e-02	1.900000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.000000000000000e-02	2.000000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.100000000000000e-02	2.100000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.200000000000000e-02	2.200000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.300000000000000e-02	2.300000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.400000000000000e-02	2.400000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.500000000000000e-02	2.500000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.600000000000000e-02	2.600000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.700000000000000e-02	2.700000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.800000000000000e-02	2.800000e-02	5.000000e+00	5.000000e+00	5.000000e+00
2.900000000000000e-02	2.900000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.000000000000000e-02	3.000000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.100000000000000e-02	3.100000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.200000000000000e-02	3.200000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.300000000000000e-02	3.300000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.400000000000000e-02	3.400000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.500000000000000e-02	3.500000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.600000000000000e-02	3.600000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.700000000000000e-02	3.700000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.800000000000000e-02	3.800000e-02	5.000000e+00	5.000000e+00	5.000000e+00
3.900000000000000e-02	3.900000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.000000000000000e-02	4.000000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.100000000000000e-02	4.100000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.200000000000000e-02	4.200000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.300000000000000e-02	4.300000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.400000000000000e-02	4.400000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.500000000000000e-02	4.500000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.600000000000000e-02	4.600000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.700000000000000e-02	4.700000e-02	5.000000e+00	5.000000e+00	5.000000e+00
4.800000000000000e-02	4.800000e-02	5.000000e+00	5.000000e+00	5.000000e+00
