time	V(vout)	Ix(xinv_20_1@0:y_c17530)
0.000000000000000e+00	5.000000e+00	-9.116398e-16
5.000000000000000e-10	5.000000e+00	5.273559e-15
5.019112500898475e-10	5.005054e+00	-7.970261e-05
5.057337502695424e-10	5.015778e+00	-9.686935e-05
5.133787506289323e-10	5.036186e+00	-7.458445e-05
5.278849069500439e-10	5.057851e+00	-2.374683e-05
5.489945309673961e-10	5.015996e+00	1.469396e-04
5.700223709743161e-10	4.890803e+00	2.323766e-04
5.928607048942451e-10	4.627141e+00	4.968056e-04
6.000000000000000e-10	4.512589e+00	5.120876e-04
6.007139295105754e-10	4.499196e+00	5.812532e-04
6.021417885317265e-10	4.472221e+00	6.027676e-04
6.049975065740285e-10	4.418529e+00	5.911653e-04
6.107089426586324e-10	4.315443e+00	6.142182e-04
6.221318148278403e-10	4.124123e+00	6.159071e-04
6.449775591662561e-10	3.757411e+00	6.233316e-04
6.753441992172171e-10	3.290929e+00	6.197380e-04
7.144066992172172e-10	2.718712e+00	6.163164e-04
7.534691992172172e-10	2.187966e+00	6.025521e-04
7.925316992172172e-10	1.739742e+00	5.904783e-04
8.315941992172173e-10	1.364643e+00	5.234034e-04
8.619480481739198e-10	1.094211e+00	4.375807e-04
8.942845253469059e-10	8.194377e-01	3.266982e-04
9.333470253469059e-10	5.500767e-01	2.329925e-04
9.724095253469059e-10	3.516737e-01	1.414780e-04
1.011472025346906e-09	2.217308e-01	1.016742e-04
1.050534525346906e-09	1.388609e-01	5.353697e-05
1.089597025346906e-09	8.678702e-02	4.438082e-05
1.128659525346906e-09	5.401368e-02	1.707993e-05
1.167722025346906e-09	3.368745e-02	2.126182e-05
1.206784525346906e-09	2.087389e-02	2.677489e-06
1.245847025346906e-09	1.304608e-02	1.217526e-05
1.284909525346906e-09	8.040961e-03	-2.890109e-06
1.323972025346906e-09	5.065395e-03	8.619100e-06
1.363034525346906e-09	3.082342e-03	-5.013363e-06
1.402097025346906e-09	1.980840e-03	7.212033e-06
1.441159525346906e-09	1.167340e-03	-5.803431e-06
1.480222025346906e-09	7.883162e-04	6.638065e-06
1.519284525346906e-09	4.283126e-04	-6.079264e-06
1.558347025346907e-09	3.268118e-04	6.387460e-06
