time	V(clk)	V(ind)	V(outq)
0.000000000000000e+00	0.000000e+00	0.000000e+00	5.000000e+00
2.000000000000000e-09	0.000000e+00	0.000000e+00	5.000000e+00
2.003473750089847e-09	0.000000e+00	1.736875e-01	5.000000e+00
2.010421250269542e-09	0.000000e+00	5.210625e-01	5.000000e+00
2.024316250628931e-09	0.000000e+00	1.215813e+00	5.000000e+00
2.042238727205863e-09	0.000000e+00	2.111936e+00	5.000000e+00
2.065072672502874e-09	0.000000e+00	3.253634e+00	5.000000e+00
2.087627351412670e-09	0.000000e+00	4.381368e+00	4.999999e+00
2.100000000000000e-09	0.000000e+00	5.000000e+00	4.999999e+00
2.101237264858733e-09	0.000000e+00	5.000000e+00	4.999999e+00
2.103711794576199e-09	0.000000e+00	5.000000e+00	4.999999e+00
2.108660854011131e-09	0.000000e+00	5.000000e+00	4.999998e+00
2.118558972880995e-09	0.000000e+00	5.000000e+00	4.999997e+00
2.135861053621381e-09	0.000000e+00	5.000000e+00	4.999998e+00
2.165438287932011e-09	0.000000e+00	5.000000e+00	5.000001e+00
2.204500787932011e-09	0.000000e+00	5.000000e+00	5.000003e+00
2.242264977257797e-09	0.000000e+00	5.000000e+00	5.000002e+00
2.281327477257797e-09	0.000000e+00	5.000000e+00	5.000000e+00
2.320389977257797e-09	0.000000e+00	5.000000e+00	4.999994e+00
2.359452477257797e-09	0.000000e+00	5.000000e+00	4.999986e+00
2.398514977257798e-09	0.000000e+00	5.000000e+00	4.999977e+00
2.437577477257798e-09	0.000000e+00	5.000000e+00	4.999958e+00
2.476639977257798e-09	0.000000e+00	5.000000e+00	4.999963e+00
2.504074295941628e-09	0.000000e+00	5.000000e+00	5.000000e+00
2.529570015594436e-09	0.000000e+00	5.000000e+00	5.000047e+00
2.557924385919976e-09	0.000000e+00	5.000000e+00	5.000077e+00
2.592657761889444e-09	0.000000e+00	5.000000e+00	5.000064e+00
2.624177508526087e-09	0.000000e+00	5.000000e+00	5.000033e+00
2.660696445697889e-09	0.000000e+00	5.000000e+00	5.000006e+00
2.699758945697889e-09	0.000000e+00	5.000000e+00	4.999991e+00
2.738821445697889e-09	0.000000e+00	5.000000e+00	4.999987e+00
2.777883945697889e-09	0.000000e+00	5.000000e+00	4.999988e+00
2.816946445697889e-09	0.000000e+00	5.000000e+00	4.999990e+00
2.856008945697889e-09	0.000000e+00	5.000000e+00	4.999992e+00
2.895071445697889e-09	0.000000e+00	5.000000e+00	4.999995e+00
2.934133945697889e-09	0.000000e+00	5.000000e+00	4.999996e+00
2.973196445697889e-09	0.000000e+00	5.000000e+00	4.999997e+00
3.012258945697889e-09	0.000000e+00	5.000000e+00	4.999998e+00
3.051321445697889e-09	0.000000e+00	5.000000e+00	4.999999e+00
3.090383945697889e-09	0.000000e+00	5.000000e+00	4.999999e+00
3.129446445697889e-09	0.000000e+00	5.000000e+00	5.000000e+00
3.168508945697889e-09	0.000000e+00	5.000000e+00	5.000000e+00
3.207571445697889e-09	0.000000e+00	5.000000e+00	5.000000e+00
3.246633945697889e-09	0.000000e+00	5.000000e+00	5.000000e+00
3.285696445697890e-09	0.000000e+00	5.000000e+00	5.000000e+00
