time	V(ina)	V(inb)	V(sel)	V(selb)	V(yout1)	V(yout2)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.597611e-08	8.711948e-01
5.000000000000000e-10	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.597613e-08	8.711948e-01
5.013146100985958e-10	0.000000e+00	0.000000e+00	0.000000e+00	6.573050e-02	9.524801e-05	8.736891e-01
5.039438302957873e-10	0.000000e+00	0.000000e+00	0.000000e+00	1.971915e-01	3.605305e-04	8.787617e-01
5.092022706901703e-10	0.000000e+00	0.000000e+00	0.000000e+00	4.601135e-01	9.824426e-04	8.889129e-01
5.197191514789364e-10	0.000000e+00	0.000000e+00	0.000000e+00	9.859576e-01	1.917269e-03	9.110519e-01
5.393763736589834e-10	0.000000e+00	0.000000e+00	0.000000e+00	1.968819e+00	2.576479e-03	8.762782e-01
5.600767847284055e-10	0.000000e+00	0.000000e+00	0.000000e+00	3.003839e+00	2.548992e-03	7.048187e-01
5.833626807752572e-10	0.000000e+00	0.000000e+00	0.000000e+00	4.168134e+00	2.517073e-03	4.797198e-01
6.000000000000000e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.723527e-03	3.546703e-01
6.016637319224743e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.546197e-03	3.393173e-01
6.049911957674229e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.176630e-03	3.097395e-01
6.116461234573200e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.813095e-04	2.578464e-01
6.249559788371142e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-5.343846e-04	1.778842e-01
6.515756895967026e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-1.475619e-03	8.218719e-02
6.906381895967026e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-1.546422e-03	2.452180e-02
7.297006895967027e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-1.118366e-03	7.312994e-03
7.687631895967027e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-7.059079e-04	2.185215e-03
8.078256895967027e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-4.167901e-04	6.502832e-04
8.468881895967028e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-2.347225e-04	1.964002e-04
8.859506895967028e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-1.295440e-04	5.646681e-05
9.250131895967029e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-6.911691e-05	1.934502e-05
9.640756895967028e-10	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-3.711942e-05	3.947204e-06
1.003138189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-1.806899e-05	3.473815e-06
1.042200689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-9.541256e-06	-1.066952e-06
1.081263189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-4.064465e-06	1.913407e-06
1.120325689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-2.478827e-06	-1.541831e-06
1.159388189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-4.667895e-07	1.769525e-06
1.198450689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-6.362632e-07	-1.573123e-06
1.237513189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.646581e-07	1.747035e-06
1.276575689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-1.572293e-07	-1.566481e-06
1.315638189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.841266e-07	1.735007e-06
1.354700689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-3.359513e-08	-1.556650e-06
1.393763189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	7.184183e-07	1.723939e-06
1.432825689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.957515e-10	-1.546605e-06
1.471888189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	7.061843e-07	1.713019e-06
1.510950689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.270885e-08	-1.536600e-06
1.550013189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.831270e-07	1.702174e-06
1.589075689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.006498e-08	-1.526658e-06
1.628138189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.582127e-07	1.691400e-06
1.667200689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.631728e-08	-1.516779e-06
1.706263189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.336036e-07	1.680694e-06
1.745325689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.223411e-08	-1.506963e-06
1.784388189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.097729e-07	1.670058e-06
1.823450689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.790946e-08	-1.497209e-06
1.862513189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	5.867917e-07	1.659489e-06
1.901575689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.332238e-08	-1.487519e-06
1.940638189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	5.646436e-07	1.648988e-06
1.979700689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.845053e-08	-1.477890e-06
2.018763189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	5.432973e-07	1.638554e-06
2.057825689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	5.328506e-08	-1.468323e-06
2.096888189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	5.227220e-07	1.628186e-06
2.135950689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	5.782729e-08	-1.458817e-06
2.175013189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	5.028891e-07	1.617886e-06
2.214075689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.208392e-08	-1.449372e-06
2.253138189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.837719e-07	1.607651e-06
2.292200689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.606475e-08	-1.439988e-06
2.331263189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.653457e-07	1.597481e-06
2.370325689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	6.978068e-08	-1.430663e-06
2.409388189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.475867e-07	1.587377e-06
2.448450689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	7.324285e-08	-1.421398e-06
2.487513189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.304720e-07	1.577337e-06
2.526575689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	7.646256e-08	-1.412193e-06
2.565638189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	4.139796e-07	1.567362e-06
2.604700689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	7.945068e-08	-1.403046e-06
2.643763189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.980884e-07	1.557450e-06
2.682825689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	8.221799e-08	-1.393958e-06
2.721888189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.827778e-07	1.547602e-06
2.760950689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	8.477468e-08	-1.384928e-06
2.800013189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.680280e-07	1.537817e-06
2.839075689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	8.713056e-08	-1.375956e-06
2.878138189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.538198e-07	1.528094e-06
2.917200689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	8.929534e-08	-1.367041e-06
2.956263189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.401348e-07	1.518434e-06
2.995325689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.127801e-08	-1.358184e-06
3.034388189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.269550e-07	1.508836e-06
3.073450689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.308739e-08	-1.349383e-06
3.112513189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.142628e-07	1.499299e-06
3.151575689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.473183e-08	-1.340638e-06
3.190638189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	3.020418e-07	1.489823e-06
3.229700689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.621945e-08	-1.331949e-06
3.268763189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.902756e-07	1.480407e-06
3.307825689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.755805e-08	-1.323316e-06
3.346888189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.789484e-07	1.471052e-06
3.385950689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.875495e-08	-1.314738e-06
3.425013189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.680452e-07	1.461757e-06
3.464075689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.981739e-08	-1.306215e-06
3.503138189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.575513e-07	1.452521e-06
3.542200689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.007522e-07	-1.297747e-06
3.581263189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.474525e-07	1.443345e-06
3.620325689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.015659e-07	-1.289333e-06
3.659388189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.377350e-07	1.434227e-06
3.698450689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.022647e-07	-1.280972e-06
3.737513189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.283856e-07	1.425167e-06
3.776575689596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.028547e-07	-1.272665e-06
3.815638189596705e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.193915e-07	1.416166e-06
3.854700689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.033418e-07	-1.264412e-06
3.893763189596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.107402e-07	1.407222e-06
3.932825689596704e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.037313e-07	-1.256211e-06
3.971888189596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	2.024197e-07	1.398335e-06
4.010950689596703e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.040287e-07	-1.248062e-06
4.050013189596702e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.944185e-07	1.389505e-06
4.089075689596702e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.042337e-07	-1.239966e-06
4.128138189596702e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.867267e-07	1.380732e-06
4.167200689596701e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.043585e-07	-1.231922e-06
4.206263189596701e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.793331e-07	1.372015e-06
4.245325689596701e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.044070e-07	-1.223929e-06
4.284388189596700e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.722264e-07	1.363353e-06
4.323450689596700e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.043828e-07	-1.215987e-06
4.362513189596699e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.653963e-07	1.354747e-06
4.401575689596699e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.042900e-07	-1.208096e-06
4.440638189596699e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.588328e-07	1.346196e-06
4.479700689596698e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.041325e-07	-1.200255e-06
4.518763189596698e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.525265e-07	1.337700e-06
4.557825689596698e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.039142e-07	-1.192465e-06
4.596888189596697e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.464682e-07	1.329258e-06
4.635950689596697e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.036388e-07	-1.184725e-06
4.675013189596696e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.406492e-07	1.320870e-06
4.714075689596696e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.033428e-07	-1.177034e-06
4.753138189596696e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.350851e-07	1.312536e-06
4.792200689596695e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.029393e-07	-1.169392e-06
4.831263189596695e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.296993e-07	1.304255e-06
4.870325689596695e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.025036e-07	-1.161799e-06
4.909388189596694e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.245428e-07	1.296028e-06
4.948450689596694e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.020321e-07	-1.154255e-06
4.987513189596693e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.195972e-07	1.287852e-06
5.026575689596693e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.015213e-07	-1.146759e-06
5.065638189596693e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.148518e-07	1.279730e-06
5.104700689596692e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.009729e-07	-1.139311e-06
5.143763189596692e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.102988e-07	1.271659e-06
5.182825689596692e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.003892e-07	-1.131910e-06
5.221888189596691e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.059311e-07	1.263640e-06
5.260950689596691e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.977258e-08	-1.124557e-06
5.300013189596690e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	1.017419e-07	1.255672e-06
5.339075689596690e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.912578e-08	-1.117251e-06
5.378138189596690e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.772479e-08	1.247755e-06
5.417200689596689e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.845100e-08	-1.109992e-06
5.456263189596689e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.387352e-08	1.239888e-06
5.495325689596689e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.775055e-08	-1.102779e-06
5.534388189596688e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.015061e-08	1.232072e-06
5.573450689596688e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.700262e-08	-1.095613e-06
5.600000000000000e-09	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	9.080427e-08	1.229134e-06
5.601560560383047e-09	0.000000e+00	0.000000e+00	7.802802e-02	4.921972e+00	2.703265e-04	-2.246461e-03
5.604681681149139e-09	0.000000e+00	0.000000e+00	2.340841e-01	4.765916e+00	8.890016e-04	-6.669034e-03
5.610923922681325e-09	0.000000e+00	0.000000e+00	5.461962e-01	4.453804e+00	1.932729e-03	-1.445636e-02
5.623408405745697e-09	0.000000e+00	0.000000e+00	1.170420e+00	3.829580e+00	2.728440e-03	-1.477137e-02
5.639402041818063e-09	0.000000e+00	0.000000e+00	1.970102e+00	3.029898e+00	2.493152e-03	-8.037994e-03
5.662410052069042e-09	0.000000e+00	0.000000e+00	3.120503e+00	1.879497e+00	2.370157e-03	-2.862406e-03
5.691236785516482e-09	0.000000e+00	0.000000e+00	4.561839e+00	4.381607e-01	2.605568e-03	5.774956e-03
5.700000000000000e-09	0.000000e+00	0.000000e+00	5.000000e+00	3.907985e-14	1.944202e-03	1.633057e-02
5.700876321448352e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	1.854274e-03	1.601836e-02
5.702628964345055e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	1.698897e-03	1.526521e-02
5.706134250138462e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	1.460772e-03	1.384687e-02
5.713144821725277e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	1.068069e-03	1.140220e-02
5.727165964898906e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	3.184412e-04	7.692109e-03
5.755208251246164e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-9.138219e-04	3.396423e-03
5.794270751246164e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-1.627683e-03	1.010631e-03
5.833333251246164e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-1.493259e-03	3.052296e-04
5.872395751246163e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-1.089175e-03	8.774029e-05
5.911458251246163e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-7.097389e-04	2.962248e-05
5.950520751246163e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-4.341728e-04	5.462019e-06
5.989583251246162e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-2.551140e-04	5.028290e-06
6.000000000000001e-09	0.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-2.209838e-04	-7.673069e-07
6.001041674875384e-09	5.208375e-02	0.000000e+00	5.000000e+00	0.000000e+00	8.796695e-05	-1.377441e-06
6.003125024626152e-09	1.562512e-01	0.000000e+00	5.000000e+00	0.000000e+00	8.224153e-04	2.864618e-03
6.007291724127688e-09	3.645862e-01	0.000000e+00	5.000000e+00	0.000000e+00	2.323337e-03	2.479823e-02
6.015625123130759e-09	7.812561e-01	0.000000e+00	5.000000e+00	0.000000e+00	5.029269e-03	1.223209e-01
6.032291921136900e-09	1.614596e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.896175e-03	4.642463e-01
6.051182963392210e-09	2.559148e+00	0.000000e+00	5.000000e+00	0.000000e+00	-7.246037e-03	1.000980e+00
6.075485166876182e-09	3.774258e+00	0.000000e+00	5.000000e+00	0.000000e+00	-3.668858e-02	1.801055e+00
6.100000000000001e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-7.415462e-02	2.651432e+00
6.102451483312383e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-7.742795e-02	2.736748e+00
6.107354449937147e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-8.103531e-02	2.900348e+00
6.117160383186674e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	-7.016883e-02	3.187510e+00
6.136772249685728e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	1.549139e-02	3.627008e+00
6.175834749685728e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.166466e-01	4.188473e+00
6.214897249685728e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	1.269092e+00	4.518969e+00
6.253959749685727e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	2.466020e+00	4.717475e+00
6.293022249685727e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	3.567374e+00	4.834692e+00
6.332084749685727e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.286747e+00	4.903418e+00
6.371147249685726e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.662815e+00	4.943600e+00
6.410209749685726e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.843303e+00	4.967071e+00
6.449272249685725e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.927278e+00	4.980775e+00
6.488334749685725e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.966136e+00	4.988777e+00
6.527397249685725e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.984088e+00	4.993447e+00
6.566459749685724e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.992482e+00	4.996175e+00
6.605522249685724e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.996390e+00	4.997766e+00
6.644584749685724e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.998270e+00	4.998696e+00
6.683647249685723e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999141e+00	4.999238e+00
6.722709749685723e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999589e+00	4.999556e+00
6.761772249685722e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999783e+00	4.999741e+00
6.800834749685722e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999903e+00	4.999849e+00
6.839897249685722e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999938e+00	4.999911e+00
6.878959749685721e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999980e+00	4.999949e+00
6.918022249685721e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999978e+00	4.999970e+00
6.957084749685721e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000000e+00	4.999982e+00
6.996147249685720e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999989e+00	4.999990e+00
7.035209749685720e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000006e+00	4.999994e+00
7.074272249685719e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999991e+00	4.999996e+00
7.113334749685719e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	4.999998e+00
7.152397249685719e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999992e+00	4.999999e+00
7.191459749685718e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	5.000000e+00
7.230522249685718e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999993e+00	5.000000e+00
7.269584749685718e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	5.000000e+00
7.308647249685717e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999993e+00	5.000000e+00
7.347709749685717e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	5.000000e+00
7.386772249685716e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999993e+00	5.000000e+00
7.425834749685716e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	5.000000e+00
7.464897249685717e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999993e+00	5.000000e+00
7.503959749685716e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	5.000000e+00
7.543022249685716e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999993e+00	5.000000e+00
7.582084749685715e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	5.000000e+00
7.621147249685715e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999993e+00	5.000000e+00
7.660209749685715e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000007e+00	5.000000e+00
7.699272249685714e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999993e+00	5.000000e+00
7.738334749685714e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000006e+00	5.000000e+00
7.777397249685714e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999994e+00	5.000000e+00
7.816459749685713e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	5.000006e+00	5.000000e+00
7.855522249685713e-09	5.000000e+00	0.000000e+00	5.000000e+00	0.000000e+00	4.999994e+00	5.000000e+00
